32;3;50;0.257;0.002;21.08;
32;4;42;0.252;0.002;20.25;
32;5;30;0.263;0.003;18.97;
32;6;18;0.366;0.006;18.19;
32;7;11;0.257;0.009;14.52;
32;8;10;0.266;0.010;14.24;
32;9;18;0.176;0.006;15.01;
33;0;30;0.300;0.003;19.55;
33;1;42;0.253;0.002;20.27;
33;2;49;0.258;0.002;21.01;
33;3;50;0.257;0.002;21.09;
33;4;42;0.253;0.002;20.27;
33;5;30;0.262;0.003;18.96;
33;6;18;0.359;0.006;18.11;
33;7;11;0.257;0.009;14.51;
33;8;10;0.271;0.010;14.34;
33;9;18;0.169;0.006;14.83;
34;0;30;0.303;0.003;19.59;
34;1;42;0.253;0.002;20.26;
34;2;49;0.259;0.002;21.03;
34;3;50;0.256;0.002;21.08;
34;4;42;0.253;0.002;20.26;
34;5;30;0.276;0.003;19.18;
34;6;18;0.364;0.006;18.16;
34;7;11;0.259;0.009;14.55;
34;8;10;0.262;0.010;14.18;
34;9;18;0.148;0.006;14.26;
35;0;30;0.303;0.003;19.58;
35;1;42;0.252;0.002;20.24;
35;2;49;0.258;0.002;21.02;
35;3;50;0.258;0.002;21.11;
35;4;42;0.252;0.002;20.25;
35;5;30;0.306;0.003;19.63;
35;6;18;0.349;0.006;17.99;
35;7;11;0.265;0.009;14.65;
35;8;10;0.245;0.010;13.89;
35;9;18;0.125;0.006;13.53;
36;0;30;0.301;0.003;19.56;
36;1;42;0.253;0.002;20.27;
36;2;49;0.257;0.002;20.99;
36;3;50;0.258;0.002;21.10;
36;4;42;0.252;0.002;20.24;
36;5;30;0.305;0.003;19.62;
36;6;18;0.347;0.006;17.96;
36;7;11;0.265;0.009;14.65;
36;8;10;0.243;0.010;13.86;
36;9;18;0.129;0.006;13.66;
37;0;30;0.299;0.003;19.53;
37;1;42;0.253;0.002;20.26;
37;2;49;0.257;0.002;21.01;
37;3;50;0.256;0.002;21.07;
37;4;42;0.253;0.002;20.26;
37;5;30;0.312;0.003;19.71;
37;6;18;0.343;0.006;17.90;
37;7;11;0.264;0.009;14.63;
37;8;10;0.241;0.010;13.82;
37;9;18;0.125;0.006;13.52;
38;0;30;0.296;0.003;19.48;
38;1;42;0.253;0.002;20.27;
38;2;49;0.257;0.002;21.01;
38;3;50;0.257;0.002;21.08;
38;4;42;0.252;0.002;20.24;
38;5;30;0.312;0.003;19.71;
38;6;18;0.343;0.006;17.90;
38;7;11;0.264;0.009;14.64;
38;8;10;0.241;0.010;13.81;
38;9;18;0.125;0.006;13.52;
39;0;30;0.297;0.003;19.50;
39;1;42;0.254;0.002;20.29;
39;2;49;0.259;0.002;21.03;
39;3;50;0.256;0.002;21.08;
39;4;42;0.252;0.002;20.24;
39;5;30;0.314;0.003;19.74;
39;6;18;0.340;0.006;17.86;
39;7;11;0.259;0.009;14.55;
39;8;10;0.241;0.010;13.82;
39;9;18;0.115;0.006;13.16;
40;0;30;0.294;0.003;19.45;
40;1;42;0.254;0.002;20.29;
40;2;49;0.258;0.002;21.02;
40;3;50;0.256;0.002;21.06;
40;4;42;0.253;0.002;20.26;
40;5;30;0.276;0.003;19.18;
40;6;18;0.355;0.006;18.06;
40;7;11;0.261;0.009;14.57;
40;8;10;0.260;0.010;14.14;
40;9;18;0.144;0.006;14.12;
41;0;30;0.293;0.003;19.44;
41;1;42;0.253;0.002;20.27;
41;2;49;0.258;0.002;21.03;
41;3;50;0.256;0.002;21.07;
41;4;42;0.253;0.002;20.26;
41;5;30;0.314;0.003;19.74;
41;6;18;0.340;0.006;17.87;
41;7;11;0.261;0.009;14.58;
41;8;10;0.243;0.010;13.86;
41;9;18;0.109;0.006;12.91;
42;0;30;0.292;0.003;19.42;
42;1;42;0.254;0.002;20.28;
42;2;49;0.259;0.002;21.04;
42;3;50;0.255;0.002;21.06;
42;4;42;0.252;0.002;20.25;
42;5;30;0.269;0.003;19.07;
42;6;18;0.356;0.006;18.07;
42;7;11;0.257;0.009;14.52;
42;8;10;0.257;0.010;14.09;
42;9;18;0.158;0.006;14.55;
43;0;30;0.290;0.003;19.40;
43;1;42;0.253;0.002;20.26;
43;2;49;0.260;0.002;21.05;
43;3;50;0.255;0.002;21.06;
43;4;42;0.252;0.002;20.25;
43;5;30;0.276;0.003;19.18;
